#--- Experiment --------------------------------------------------------------------------																																																																															
#SGRM_Resp_May13_MMR																																																																															
#																																																																															
#--- System ------------------------------------------------------------------------------																																																																															
#Data from PyroScience Workbench V1.4.7.2305   www.pyroscience.com																																																																															
#LITTLELAB1																																																																															
#--- Instrument --------------------------------------------------------------------------																																																																															
#Device: FireSting-O2 [B] FSO2-C4 SN:24E144015D64A6C5 Firmware:4.11 Build:001																																																																															
#--- Channel -----------------------------------------------------------------------------																																																																															
#Channel [B Ch.1] - Oxygen Sensor - XA7-520-212 																																																																															
#--- Settings & Calibration --------------------------------------------------------------																																																																															
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																																																											
#	16 ms	10% (A)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	Fixed Temperature ('C)	10.000000	2	Internal Pressure Sensor	1013.000000	7.500000																																																											
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																																																											
#	2025-05-11	2000-12-31	23.644135	52.000000	0.804000	0.122000	4000	-0.056000	0.969000	0.900000	0.000000	-0.000303	0.000000	0.000000	fixed f	1017.690979	10.000000	100.000000	20.000000	20.950000																																																											
#--- Temperature Compensation Channel ----------------------------------------------------																																																																															
#Compensation Channel [B Int. T1] - Fixed Temperature																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Pressure Compensation Channel -------------------------------------------------------																																																																															
#Compensation Channel [B P1] - Internal Pressure Sensor																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Channel -----------------------------------------------------------------------------																																																																															
#Channel [B Ch.2] - Oxygen Sensor - XA7-520-212 																																																																															
#--- Settings & Calibration --------------------------------------------------------------																																																																															
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																																																											
#	16 ms	10% (A)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	Fixed Temperature ('C)	10.000000	2	Internal Pressure Sensor	1013.000000	7.500000																																																											
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																																																											
#	2025-05-11	2000-12-31	23.095800	52.000000	0.804000	0.122000	4000	-0.056000	0.969000	0.900000	0.000000	-0.000303	0.000000	0.000000	fixed f	1017.690979	10.000000	100.000000	20.000000	20.950000																																																											
#--- Temperature Compensation Channel ----------------------------------------------------																																																																															
#Compensation Channel [B Int. T2] - Fixed Temperature																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Pressure Compensation Channel -------------------------------------------------------																																																																															
#Compensation Channel [B P1] - Internal Pressure Sensor																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Channel -----------------------------------------------------------------------------																																																																															
#Channel [B Ch.3] - Oxygen Sensor - XA7-520-212 																																																																															
#--- Settings & Calibration --------------------------------------------------------------																																																																															
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																																																											
#	16 ms	10% (A)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	Fixed Temperature ('C)	10.000000	2	Internal Pressure Sensor	1013.000000	7.500000																																																											
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																																																											
#	2025-05-11	2000-12-31	22.863268	52.000000	0.804000	0.122000	4000	-0.056000	0.969000	0.900000	0.000000	-0.000303	0.000000	0.000000	fixed f	1017.685974	10.000000	100.000000	20.000000	20.950000																																																											
#--- Temperature Compensation Channel ----------------------------------------------------																																																																															
#Compensation Channel [B Int. T3] - Fixed Temperature																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Pressure Compensation Channel -------------------------------------------------------																																																																															
#Compensation Channel [B P1] - Internal Pressure Sensor																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Channel -----------------------------------------------------------------------------																																																																															
#Channel [B Ch.4] - Oxygen Sensor - XA7-520-212 																																																																															
#--- Settings & Calibration --------------------------------------------------------------																																																																															
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																																																											
#	16 ms	10% (A)	10M (400x)	4000	FALSE	FALSE	TRUE	TRUE	0	47	0	oxygen	1 mm	2000	Fixed Temperature ('C)	10.000000	2	Internal Pressure Sensor	1013.000000	7.500000																																																											
#Calibration:	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																																																											
#	2025-05-11	2000-12-31	22.990868	52.000000	0.804000	0.122000	4000	-0.056000	0.969000	0.900000	0.000000	-0.000303	0.000000	0.000000	fixed f	1017.609009	10.000000	100.000000	20.000000	20.950000																																																											
#--- Temperature Compensation Channel ----------------------------------------------------																																																																															
#Compensation Channel [B Int. T4] - Fixed Temperature																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Pressure Compensation Channel -------------------------------------------------------																																																																															
#Compensation Channel [B P1] - Internal Pressure Sensor																																																																															
#Settings: n/a																																																																															
#Calibration: n/a																																																																															
#--- Channel -----------------------------------------------------------------------------																																																																															
#Channel [B T1] - PT100 Temperature Sensor - Calibration offset = -1.78°C																																																																															
#--- Measurement Data --------------------------------------------------------------------																																																																															
Date [B Ch.1 Main]	Time [B Ch.1 Main]	 dt (s) [B Ch.1 Main]	Oxygen (%air sat.) [B Ch.1 Main]	dphi (°) [B Ch.1 Main]	Signal Intensity (mV) [B Ch.1 Main]	Ambient Light (mV) [B Ch.1 Main]	Status [B Ch.1 Main]	Date [B Ch.1 CompT]	Time [B Ch.1 CompT]	 dt (s) [B Ch.1 CompT]	Fixed Temp (°C) [B Ch.1 CompT]	Status [B Ch.1 CompT]	Date [B Ch.1 CompP]	Time [B Ch.1 CompP]	 dt (s) [B Ch.1 CompP]	Pressure (mbar) [B Ch.1 CompP]	Status [B Ch.1 CompP]	Date [B Ch.2 Main]	Time [B Ch.2 Main]	 dt (s) [B Ch.2 Main]	Oxygen (%air sat.) [B Ch.2 Main]	dphi (°) [B Ch.2 Main]	Signal Intensity (mV) [B Ch.2 Main]	Ambient Light (mV) [B Ch.2 Main]	Status [B Ch.2 Main]	Date [B Ch.2 CompT]	Time [B Ch.2 CompT]	 dt (s) [B Ch.2 CompT]	Fixed Temp (°C) [B Ch.2 CompT]	Status [B Ch.2 CompT]	Date [B Ch.2 CompP]	Time [B Ch.2 CompP]	 dt (s) [B Ch.2 CompP]	Pressure (mbar) [B Ch.2 CompP]	Status [B Ch.2 CompP]	Date [B Ch.3 Main]	Time [B Ch.3 Main]	 dt (s) [B Ch.3 Main]	Oxygen (%air sat.) [B Ch.3 Main]	dphi (°) [B Ch.3 Main]	Signal Intensity (mV) [B Ch.3 Main]	Ambient Light (mV) [B Ch.3 Main]	Status [B Ch.3 Main]	Date [B Ch.3 CompT]	Time [B Ch.3 CompT]	 dt (s) [B Ch.3 CompT]	Fixed Temp (°C) [B Ch.3 CompT]	Status [B Ch.3 CompT]	Date [B Ch.3 CompP]	Time [B Ch.3 CompP]	 dt (s) [B Ch.3 CompP]	Pressure (mbar) [B Ch.3 CompP]	Status [B Ch.3 CompP]	Date [B Ch.4 Main]	Time [B Ch.4 Main]	 dt (s) [B Ch.4 Main]	Oxygen (%air sat.) [B Ch.4 Main]	dphi (°) [B Ch.4 Main]	Signal Intensity (mV) [B Ch.4 Main]	Ambient Light (mV) [B Ch.4 Main]	Status [B Ch.4 Main]	Date [B Ch.4 CompT]	Time [B Ch.4 CompT]	 dt (s) [B Ch.4 CompT]	Fixed Temp (°C) [B Ch.4 CompT]	Status [B Ch.4 CompT]	Date [B Ch.4 CompP]	Time [B Ch.4 CompP]	 dt (s) [B Ch.4 CompP]	Pressure (mbar) [B Ch.4 CompP]	Status [B Ch.4 CompP]	Date [B T1]	Time [B T1]	 dt (s) [B T1]	Sample Temp. (°C) [B T1]	Status [B T1]	Date [Comment]	Time [Comment]	Comment
13-05-2025	19:56:29.136	0.753	99.177	23.905	220	0	OK	13-05-2025	19:56:29.136	0.753	10.000	OK	13-05-2025	19:56:29.136	0.753	1004	OK	13-05-2025	19:56:28.827	0.445	96.681	23.652	235	0	OK	13-05-2025	19:56:28.827	0.445	10.000	OK	13-05-2025	19:56:28.827	0.445	1004	OK	13-05-2025	19:56:28.931	0.548	99.255	23.113	253	0	OK	13-05-2025	19:56:28.931	0.548	10.000	OK	13-05-2025	19:56:28.931	0.548	1004	OK	13-05-2025	19:56:29.030	0.648	99.521	23.209	135	0	OK	13-05-2025	19:56:29.030	0.648	10.000	OK	13-05-2025	19:56:29.030	0.648	1004	OK	13-05-2025	19:56:28.428	0.045	9.271	OK			
13-05-2025	19:56:30.138	1.755	99.286	23.893	220	0	OK	13-05-2025	19:56:30.138	1.755	10.000	OK	13-05-2025	19:56:30.138	1.755	1004	OK	13-05-2025	19:56:29.830	1.447	96.732	23.646	235	0	OK	13-05-2025	19:56:29.830	1.447	10.000	OK	13-05-2025	19:56:29.830	1.447	1004	OK	13-05-2025	19:56:29.933	1.550	99.213	23.117	253	0	OK	13-05-2025	19:56:29.933	1.550	10.000	OK	13-05-2025	19:56:29.933	1.550	1004	OK	13-05-2025	19:56:30.031	1.648	99.477	23.214	136	0	OK	13-05-2025	19:56:30.031	1.648	10.000	OK	13-05-2025	19:56:30.031	1.648	1004	OK	13-05-2025	19:56:29.429	1.046	9.265	OK			
13-05-2025	19:56:31.142	2.760	99.244	23.897	220	0	OK	13-05-2025	19:56:31.142	2.760	10.000	OK	13-05-2025	19:56:31.142	2.760	1004	OK	13-05-2025	19:56:30.828	2.446	96.716	23.648	235	0	OK	13-05-2025	19:56:30.828	2.446	10.000	OK	13-05-2025	19:56:30.828	2.446	1004	OK	13-05-2025	19:56:30.933	2.550	99.223	23.116	254	0	OK	13-05-2025	19:56:30.933	2.550	10.000	OK	13-05-2025	19:56:30.933	2.550	1004	OK	13-05-2025	19:56:31.032	2.649	99.559	23.205	136	0	OK	13-05-2025	19:56:31.032	2.649	10.000	OK	13-05-2025	19:56:31.032	2.649	1004	OK	13-05-2025	19:56:30.431	2.049	9.262	OK			
13-05-2025	19:56:32.142	3.760	99.240	23.898	220	0	OK	13-05-2025	19:56:32.142	3.760	10.000	OK	13-05-2025	19:56:32.142	3.760	1004	OK	13-05-2025	19:56:31.831	3.448	96.697	23.650	235	0	OK	13-05-2025	19:56:31.831	3.448	10.000	OK	13-05-2025	19:56:31.831	3.448	1004	OK	13-05-2025	19:56:31.932	3.550	99.175	23.122	254	0	OK	13-05-2025	19:56:31.932	3.550	10.000	OK	13-05-2025	19:56:31.932	3.550	1004	OK	13-05-2025	19:56:32.036	3.653	99.573	23.203	136	0	OK	13-05-2025	19:56:32.036	3.653	10.000	OK	13-05-2025	19:56:32.036	3.653	1004	OK	13-05-2025	19:56:31.429	3.047	9.258	OK			
13-05-2025	19:56:33.143	4.760	99.260	23.896	220	0	OK	13-05-2025	19:56:33.143	4.760	10.000	OK	13-05-2025	19:56:33.143	4.760	1004	OK	13-05-2025	19:56:32.831	4.448	96.663	23.655	235	0	OK	13-05-2025	19:56:32.831	4.448	10.000	OK	13-05-2025	19:56:32.831	4.448	1004	OK	13-05-2025	19:56:32.933	4.551	99.167	23.123	254	0	OK	13-05-2025	19:56:32.933	4.551	10.000	OK	13-05-2025	19:56:32.933	4.551	1004	OK	13-05-2025	19:56:33.035	4.653	99.616	23.198	136	0	OK	13-05-2025	19:56:33.035	4.653	10.000	OK	13-05-2025	19:56:33.035	4.653	1004	OK	13-05-2025	19:56:32.429	4.047	9.255	OK			
13-05-2025	19:56:34.142	5.759	99.192	23.903	220	0	OK	13-05-2025	19:56:34.142	5.759	10.000	OK	13-05-2025	19:56:34.142	5.759	1004	OK	13-05-2025	19:56:33.831	5.448	96.698	23.651	235	0	OK	13-05-2025	19:56:33.831	5.448	10.000	OK	13-05-2025	19:56:33.831	5.448	1004	OK	13-05-2025	19:56:33.934	5.551	99.104	23.130	254	0	OK	13-05-2025	19:56:33.934	5.551	10.000	OK	13-05-2025	19:56:33.934	5.551	1004	OK	13-05-2025	19:56:34.035	5.652	99.596	23.201	136	0	OK	13-05-2025	19:56:34.035	5.652	10.000	OK	13-05-2025	19:56:34.035	5.652	1004	OK	13-05-2025	19:56:33.429	5.047	9.250	OK			
13-05-2025	19:56:35.141	6.758	99.310	23.890	221	0	OK	13-05-2025	19:56:35.141	6.758	10.000	OK	13-05-2025	19:56:35.141	6.758	1004	OK	13-05-2025	19:56:34.830	6.448	96.716	23.648	235	0	OK	13-05-2025	19:56:34.830	6.448	10.000	OK	13-05-2025	19:56:34.830	6.448	1004	OK	13-05-2025	19:56:34.934	6.552	99.069	23.134	255	0	OK	13-05-2025	19:56:34.934	6.552	10.000	OK	13-05-2025	19:56:34.934	6.552	1004	OK	13-05-2025	19:56:35.034	6.652	99.549	23.205	136	0	OK	13-05-2025	19:56:35.034	6.652	10.000	OK	13-05-2025	19:56:35.034	6.652	1004	OK	13-05-2025	19:56:34.430	6.047	9.251	OK			
13-05-2025	19:56:36.141	7.758	99.276	23.894	219	0	OK	13-05-2025	19:56:36.141	7.758	10.000	OK	13-05-2025	19:56:36.141	7.758	1004	OK	13-05-2025	19:56:35.830	7.447	96.759	23.643	235	0	OK	13-05-2025	19:56:35.830	7.447	10.000	OK	13-05-2025	19:56:35.830	7.447	1004	OK	13-05-2025	19:56:35.934	7.552	98.989	23.144	256	0	OK	13-05-2025	19:56:35.934	7.552	10.000	OK	13-05-2025	19:56:35.934	7.552	1004	OK	13-05-2025	19:56:36.035	7.652	99.596	23.201	136	0	OK	13-05-2025	19:56:36.035	7.652	10.000	OK	13-05-2025	19:56:36.035	7.652	1004	OK	13-05-2025	19:56:35.430	7.047	9.252	OK			
13-05-2025	19:56:37.143	8.761	99.192	23.903	219	0	OK	13-05-2025	19:56:37.143	8.761	10.000	OK	13-05-2025	19:56:37.143	8.761	1004	OK	13-05-2025	19:56:36.829	8.447	96.722	23.647	235	0	OK	13-05-2025	19:56:36.829	8.447	10.000	OK	13-05-2025	19:56:36.829	8.447	1004	OK	13-05-2025	19:56:36.935	8.552	99.062	23.136	258	0	OK	13-05-2025	19:56:36.935	8.552	10.000	OK	13-05-2025	19:56:36.935	8.552	1004	OK	13-05-2025	19:56:37.036	8.653	99.648	23.194	136	0	OK	13-05-2025	19:56:37.036	8.653	10.000	OK	13-05-2025	19:56:37.036	8.653	1004	OK	13-05-2025	19:56:36.431	8.049	9.251	OK			
13-05-2025	19:56:38.142	9.759	99.211	23.901	219	0	OK	13-05-2025	19:56:38.142	9.759	10.000	OK	13-05-2025	19:56:38.142	9.759	1004	OK	13-05-2025	19:56:37.829	9.447	96.647	23.657	235	0	OK	13-05-2025	19:56:37.829	9.447	10.000	OK	13-05-2025	19:56:37.829	9.447	1004	OK	13-05-2025	19:56:37.935	9.553	98.971	23.146	258	0	OK	13-05-2025	19:56:37.935	9.553	10.000	OK	13-05-2025	19:56:37.935	9.553	1004	OK	13-05-2025	19:56:38.036	9.654	99.650	23.194	136	0	OK	13-05-2025	19:56:38.036	9.654	10.000	OK	13-05-2025	19:56:38.036	9.654	1004	OK	13-05-2025	19:56:37.430	9.047	9.248	OK			
13-05-2025	19:56:39.142	10.760	99.142	23.909	219	0	OK	13-05-2025	19:56:39.142	10.760	10.000	OK	13-05-2025	19:56:39.142	10.760	1004	OK	13-05-2025	19:56:38.838	10.456	96.745	23.645	235	0	OK	13-05-2025	19:56:38.838	10.456	10.000	OK	13-05-2025	19:56:38.838	10.456	1004	OK	13-05-2025	19:56:38.934	10.552	98.975	23.145	258	0	OK	13-05-2025	19:56:38.934	10.552	10.000	OK	13-05-2025	19:56:38.934	10.552	1004	OK	13-05-2025	19:56:39.037	10.654	99.653	23.193	136	0	OK	13-05-2025	19:56:39.037	10.654	10.000	OK	13-05-2025	19:56:39.037	10.654	1004	OK	13-05-2025	19:56:38.430	10.047	9.244	OK			
13-05-2025	19:56:40.143	11.761	99.175	23.905	219	0	OK	13-05-2025	19:56:40.143	11.761	10.000	OK	13-05-2025	19:56:40.143	11.761	1004	OK	13-05-2025	19:56:39.832	11.450	96.631	23.658	235	0	OK	13-05-2025	19:56:39.832	11.450	10.000	OK	13-05-2025	19:56:39.832	11.450	1004	OK	13-05-2025	19:56:39.933	11.551	98.799	23.166	258	0	OK	13-05-2025	19:56:39.933	11.551	10.000	OK	13-05-2025	19:56:39.933	11.551	1004	OK	13-05-2025	19:56:40.035	11.653	99.643	23.195	136	0	OK	13-05-2025	19:56:40.035	11.653	10.000	OK	13-05-2025	19:56:40.035	11.653	1004	OK	13-05-2025	19:56:39.430	11.047	9.238	OK			
13-05-2025	19:56:41.144	12.761	99.222	23.900	219	0	OK	13-05-2025	19:56:41.144	12.761	10.000	OK	13-05-2025	19:56:41.144	12.761	1004	OK	13-05-2025	19:56:40.830	12.448	96.639	23.658	235	0	OK	13-05-2025	19:56:40.830	12.448	10.000	OK	13-05-2025	19:56:40.830	12.448	1004	OK	13-05-2025	19:56:40.935	12.552	98.837	23.161	258	0	OK	13-05-2025	19:56:40.935	12.552	10.000	OK	13-05-2025	19:56:40.935	12.552	1004	OK	13-05-2025	19:56:41.037	12.654	99.603	23.199	136	0	OK	13-05-2025	19:56:41.037	12.654	10.000	OK	13-05-2025	19:56:41.037	12.654	1004	OK	13-05-2025	19:56:40.429	12.047	9.234	OK			
