,,,,,,,Acclimation,,,,,,,,,,,,,,,,,,,Opposite
fish#,group,acclimation_temperature,acclimation_salinity,mass,volume,assay_temperature,Channel,Blank,flush_on,flush_off,time,oxygen,from_MMR (row),to_MMR (row),from_RMR,to_RMR,from_background,to_background,treat background as 0,start,wait,measure,width,,,
20,3,24,28,0.006564,0.175,10,A2,B4,600,720,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_2_main,240,400,20000,30000,290,350,N,600,200,400,150,,,
21,3,24,11,0.006421,0.175,24,B3,A4,900,300,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_3_main,800,880,20000,30000,180,280,N,850,100,200,100,,,
21,3,24,11,0.006421,0.175,10,A3,B4,600,720,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_3_main,400,500,20000,30000,290,350,Y,600,200,400,150,,,
22,3,24,11,0.005221,0.175,24,B4,A4,900,300,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_4_main,950,1000,20000,30000,180,280,N,850,100,200,100,,,
22,3,24,11,0.005221,0.175,10,A4,B4,600,720,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_4_main,520,620,20000,30000,290,350,N,600,200,400,150,,,
background,3,10,11,,0.175,10,A4,,,,,,,,,,350,500,Y,,,,,,,
background,3,10,11,,0.175,24,B4,,,,,,,,,,750,900,N,,,,,,,
23,4,10,28,0.007145,0.175,10,A1,A2,900,600,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_1_main,25,100,20000,30000,60,160,Y,850,200,400,250,,,
23,4,10,28,0.007145,0.175,24,B1,B2,900,240,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_1_main,150,200,20000,30000,150,300,N,890,100,140,100,,,
24,4,10,11,0.008992,0.175,10,A3,A2,900,600,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_3_main,250,325,20000,30000,60,160,Y,850,200,400,250,,,
24,4,10,11,0.008992,0.175,24,B3,B2,900,240,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_3_main,525,600,20000,30000,150,300,N,890,100,140,100,,,
25,4,10,11,0.007287,0.175,10,A4,A2,900,600,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_4_main,400,550,20000,30000,60,160,Y,850,200,400,250,,,
25,4,10,11,0.007287,0.175,24,B4,B2,900,240,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_4_main,750,800,20000,30000,150,300,N,890,100,140,100,,,
26,4,24,28,0.006203,0.175,24,B1,A2,900,300,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_1_main,720,750,20000,30000,70,170,N,850,100,400,100,,,
26,4,24,28,0.006203,0.175,10,A1,B2,900,720,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_1_main,180,280,20000,30000,130,300,Y,850,200,520,200,,,
27,4,24,28,0.007224,0.175,24,B2,A2,900,300,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_2_main,900,960,20000,30000,70,170,N,850,100,200,100,,,
27,4,24,28,0.007224,0.175,10,A2,B2,900,720,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_2_main,300,500,20000,30000,130,300,Y,850,200,520,400,,,
28,4,24,11,0.006314,0.175,24,B3,A2,900,300,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_3_main,1000,1100,20000,30000,70,170,N,850,100,200,100,,,
28,4,24,11,0.006314,0.175,10,A3,B2,900,720,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_3_main,500,570,20000,30000,130,300,Y,850,200,520,400,,,
29,4,24,11,0.00689,0.175,24,B4,A2,900,300,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_4_main,1120,1170,20000,30000,70,170,N,850,100,200,100,,,
29,4,24,11,0.00689,0.175,10,A4,B2,900,720,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_4_main,835,890,20000,30000,130,300,Y,850,200,520,400,,,
background,4,10,28,,0.175,10,A2,,,,,,,,,,1300,1450,Y,,,,,,,
background,4,10,28,,0.175,24,B2,,,,,,,,,,250,580,N,,,,,,,
30,5,10,28,0.006084,0.175,10,A1,A2,900,600,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_1_main,300,360,20000,30000,120,210,N,850,200,400,250,,,
30,5,10,28,0.006084,0.175,24,B1,B2,900,240,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_1_main,1320,1380,20000,30000,180,350,N,890,100,140,100,,,
31,5,10,11,0.005762,0.175,10,A3,A2,900,600,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_3_main,620,700,20000,30000,120,210,Y,850,200,400,300,,,
31,5,10,11,0.005762,0.175,24,B3,B2,900,240,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_3_main,1540,1600,20000,30000,180,350,N,890,100,140,100,,,
32,5,10,11,0.007631,0.175,10,A4,A2,900,600,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_4_main,810,900,20000,30000,120,210,Y,850,100,500,400,,,
32,5,10,11,0.007631,0.175,24,B4,B2,900,240,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_4_main,1680,1730,20000,30000,180,350,N,890,100,140,100,,,
33,5,24,28,0.004701,0.175,24,B1,A2,900,300,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_1_main,280,350,20000,30000,110,210,N,850,100,200,150,,,
33,5,24,28,0.004701,0.175,10,A1,B2,900,720,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_1_main,500,600,20000,30000,150,350,Y,850,200,520,400,,,
34,5,24,28,0.00566,0.175,24,B2,A2,900,300,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_2_main,1025,1100,20000,30000,110,210,N,850,100,200,150,,,
34,5,24,28,0.00566,0.175,10,A2,B2,900,720,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_2_main,940,1040,20000,30000,150,350,Y,850,200,520,400,,,
35,5,24,11,0.005441,0.175,24,B3,A2,900,300,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_3_main,1255,1300,20000,30000,110,210,N,850,100,200,150,,,
35,5,24,11,0.005441,0.175,10,A3,B2,900,720,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_3_main,660,850,20000,30000,150,350,Y,850,200,520,400,,,
36,5,24,11,0.007191,0.175,24,B4,A2,900,300,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_4_main,1500,1550,20000,30000,110,210,N,850,100,200,150,,,
36,5,24,11,0.007191,0.175,10,A4,B2,900,720,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_4_main,850,900,20000,30000,150,350,Y,850,200,520,400,,,
background,5,,28,,0.175,10,A2,,,,,,,,,,1150,1350,Y,,,,,,,
background,5,,28,,0.175,24,B2,,,,,,,,,,1400,2400,Y,,,,,,,
37,6,10,28,0.008592,0.175,10,A1(mmr)/A2(rmr),B4,,,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_2_main,4050,5000,20000,30000,,,Y,850,200,400,200,,,
37,6,10,28,0.008592,0.175,24,A2,B4,,,dt_s_a_ch_1_main,oxygen_percent_air_sat_a_ch_2_main,4020,4220,20000,30000,,,,850,100,150,100,,,
38,6,24,28,0.00865,0.175,24,B1,B4,,,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_1_main,2310,2500,20000,30000,600,800,N,850,100,150,100,,,
39,6,24,28,0.009664,0.175,24,B2,B4,,,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_2_main,1300,1500,20000,30000,600,800,N,850,100,150,100,,,
40,6,24,11,0.008942,0.175,24,B3,B4,,,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_3_main,180,400,20000,30000,600,800,N,850,100,150,100,,,
41,6,24,28,0.005648,0.175,10,B1,B4,,,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_1_main,900,1500,,,,,,,,,,,,
42,6,24,28,0.006346,0.175,10,B2,B4,,,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_2_main,1670,2000,,,,,,,,,,,,
43,6,24,11,0.008065,0.175,10,B3,B4,,,dt_s_a_ch_1_main,oxygen_percent_air_sat_b_ch_3_main,1,300,,,,,,,,,,,,
