"fish_ID","rep","rank","intercept_b0","slope_b1","rsq","density","row","endrow","time","endtime","oxy","endoxy","rate","adjustment","rate.adjusted","rate.input","oxy.unit","time.unit","volume","mass","area","S","t","P","rate.abs","rate.m.spec","rate.a.spec","output.unit","rate.output"
"fish37_acclimation_mmr",NA,2,191.483062404279,-0.022047194700241,0.994,362.330806338085,64,186,4162.725,4284.748,99.638,97.129,-0.022047194700241,NA,NA,-0.022047194700241,"%Air","sec",0.175,0.008592,NA,28,10,1.013253,-0.682681422375082,-0.079455472809018,NA,"umolO2/min/g",-0.079455472809018
"fish37_opposite_mmr",NA,4,452.915935489677,-0.0882890651782438,0.993,40.9564364703818,6,77,4024.537,4095.55,97.874,91.452,-0.0882890651782438,NA,NA,-0.0882890651782438,"%Air","sec",0.175,0.008592,NA,28,24,1.013253,-2.07122040120561,-0.24106382695596,NA,"umolO2/min/g",-0.24106382695596
"fish38_acclimation_mmr",NA,3,300.61945814323,-0.0870232906475417,0.994,72.7554784742545,24,99,2332.394,2407.479,97.39,91.192,-0.0870232906475417,NA,NA,-0.0870232906475417,"%Air","sec",0.175,0.00865,NA,28,24,1.013253,-2.04152591949347,-0.236014557166876,NA,"umolO2/min/g",-0.236014557166876
"fish39_acclimation_mmr",NA,1,193.285168196146,-0.0738407012610498,0.999,588.34769956457,29,168,1326.988,1466.173,95.156,85.074,-0.0738407012610498,NA,NA,-0.0738407012610498,"%Air","sec",0.175,0.009664,NA,28,24,1.013253,-1.73226850440028,-0.179249638286452,NA,"umolO2/min/g",-0.179249638286452
"fish40_acclimation_mmr",NA,4,114.483950114967,-0.0708354689003024,0.997,68.3626344879063,22,105,199.856,282.874,100.394,94.476,-0.0708354689003024,NA,NA,-0.0708354689003024,"%Air","sec",0.175,0.008942,NA,11,24,1.013253,-1.83190238004272,-0.204864949680466,NA,"umolO2/min/g",-0.204864949680466
"fish41_opposite_mmr",NA,2,116.712602588452,-0.0189259489399274,0.998,790.422707298361,276,535,1175.03,1434.083,94.31,89.55,-0.0189259489399274,NA,NA,-0.0189259489399274,"%Air","sec",0.175,0.005648,NA,28,10,1.013253,-0.586033457670084,-0.10375946488493,NA,"umolO2/min/g",-0.10375946488493
"fish42_opposite_mmr",NA,2,128.236615918011,-0.0172471776158763,0.995,613.582941403821,11,142,1680.133,1811.166,99.26,97.069,-0.0172471776158763,NA,NA,-0.0172471776158763,"%Air","sec",0.175,0.006346,NA,28,10,1.013253,-0.534051062135058,-0.084155540834393,NA,"umolO2/min/g",-0.084155540834393
"fish43_opposite_mmr",NA,5,99.1402249764315,-0.0300310390066153,0.992,37.6465554864863,11,121,10.76,120.778,98.975,95.594,-0.0300310390066153,NA,NA,-0.0300310390066153,"%Air","sec",0.175,0.008065,NA,11,10,1.013253,-1.03586204823511,-0.128439187629896,NA,"umolO2/min/g",-0.128439187629896
