"fish_ID","rep","rank","intercept_b0","slope_b1","rsq","density","row","endrow","time","endtime","oxy","endoxy","rate","adjustment","rate.adjusted","rate.input","oxy.unit","time.unit","volume","mass","area","S","t","P","rate.abs","rate.m.spec","rate.a.spec","output.unit","rate.output"
"fish9_acclimation_mmr",NA,5,131.654717128234,-0.0360500738999742,0.962,31.8029806531371,5,15,869.771,919.775,100.211,98.547,-0.0360500738999742,NA,NA,-0.0360500738999742,"%Air","sec",0.175,0.006843,NA,28,10,1.013253,-1.11627424991589,-0.163126443068229,NA,"umolO2/min/g",-0.163126443068229
"fish9_opposite_mmr",NA,5,367.969963992249,-0.0917621268916361,0.983,2.55280279068844,21,46,2949.824,3074.83,96.397,86.763,-0.0917621268916361,NA,NA,-0.0917621268916361,"%Air","sec",0.175,0.006843,NA,28,24,1.013253,-2.15269681349858,-0.314583781016891,NA,"umolO2/min/g",-0.314583781016891
"fish10_acclimation_mmr",NA,1,150.777766346898,-0.0349814570785599,0.999,89.5032246968675,27,77,1504.807,1754.819,98.028,89.356,-0.0349814570785599,NA,NA,-0.0349814570785599,"%Air","sec",0.175,0.008887,NA,28,10,1.013253,-1.08318501287074,-0.121884214343506,NA,"umolO2/min/g",-0.121884214343506
"fish10_opposite_mmr",NA,1,505.357290117798,-0.110751499080716,0.997,21.4050504022611,9,41,3664.861,3824.875,99.145,81.925,-0.110751499080716,NA,NA,-0.110751499080716,"%Air","sec",0.175,0.008887,NA,28,24,1.013253,-2.59817865210119,-0.292357224271542,NA,"umolO2/min/g",-0.292357224271542
"fish11_acclimation_mmr",NA,3,223.424335300097,-0.0496447315999045,0.994,39.696979048946,29,44,2514.86,2589.867,98.458,94.915,-0.0496447315999045,NA,NA,-0.0496447315999045,"%Air","sec",0.175,0.006597,NA,11,10,1.013253,-1.71239807413362,-0.2595722410389,NA,"umolO2/min/g",-0.2595722410389
"fish11_opposite_mmr",NA,4,638.050629206159,-0.120133777570066,0.926,5.32599178473673,5,11,4494.92,4524.922,98.191,94.809,-0.120133777570066,NA,NA,-0.120133777570066,"%Air","sec",0.175,0.006597,NA,11,24,1.013253,-3.10682425726398,-0.470945013985748,NA,"umolO2/min/g",-0.470945013985748
"fish12_acclimation_mmr",NA,1,191.192428481108,-0.0298838846800323,0.986,70.4575022618109,2,9,3169.923,3204.929,96.435,95.397,-0.0298838846800323,NA,NA,-0.0298838846800323,"%Air","sec",0.175,0.007571,NA,11,10,1.013253,-1.03078624709126,-0.136149286367885,NA,"umolO2/min/g",-0.136149286367885
"fish12_opposite_mmr",NA,1,544.798096239111,-0.0902573313314484,0.999,62.0445060532232,12,27,4954.945,5029.95,97.515,90.841,-0.0902573313314484,NA,NA,-0.0902573313314484,"%Air","sec",0.175,0.007571,NA,11,24,1.013253,-2.33417838053838,-0.308305161872723,NA,"umolO2/min/g",-0.308305161872723
"fish13_acclimation_mmr",NA,1,303.48864002903,-0.0555916112113666,0.996,47.921213523843,35,65,3819.967,3969.973,91.308,82.947,-0.0555916112113666,NA,NA,-0.0555916112113666,"%Air","sec",0.175,0.005714,NA,28,24,1.013253,-1.30415334044386,-0.228238246490001,NA,"umolO2/min/g",-0.228238246490001
"fish13_opposite_mmr",NA,1,111.471687136788,-0.0173107266909726,0.995,105.906615436365,38,62,684.685,804.694,99.675,97.619,-0.0173107266909726,NA,NA,-0.0173107266909726,"%Air","sec",0.175,0.005714,NA,28,10,1.013253,-0.536018830532225,-0.0938079857424265,NA,"umolO2/min/g",-0.0938079857424265
"fish14_acclimation_mmr",NA,2,378.805690010513,-0.0665636289237049,0.999,58.760003698895,5,25,4169.985,4269.989,101.231,94.653,-0.0665636289237049,NA,NA,-0.0665636289237049,"%Air","sec",0.175,0.008035,NA,11,24,1.013253,-1.72142673921221,-0.214241037860885,NA,"umolO2/min/g",-0.214241037860885
"fish14_opposite_mmr",NA,1,132.19856259105,-0.0233297504093727,0.999,236.345867558165,10,67,1394.732,1679.745,99.641,93.037,-0.0233297504093727,NA,NA,-0.0233297504093727,"%Air","sec",0.175,0.008035,NA,11,10,1.013253,-0.804714183833049,-0.100151111864723,NA,"umolO2/min/g",-0.100151111864723
"fish15_acclimation_mmr",NA,1,442.846614686315,-0.0759672300238617,0.997,47.5286929797419,4,31,4515.003,4650.01,99.768,89.777,-0.0759672300238617,NA,NA,-0.0759672300238617,"%Air","sec",0.175,0.007664,NA,11,24,1.013253,-1.96461676115722,-0.256343523115504,NA,"umolO2/min/g",-0.256343523115504
"fish15_opposite_mmr",NA,1,142.117706018347,-0.0229567202292106,0.999,53.5613861116394,65,137,1819.758,2179.783,99.971,92.107,-0.0229567202292106,NA,NA,-0.0229567202292106,"%Air","sec",0.175,0.007664,NA,11,10,1.013253,-0.791847236192936,-0.103320359628515,NA,"umolO2/min/g",-0.103320359628515
