fish#,mass_(g),group,acclimation_temperature_(C),acclimation_salinity_(ppt),test_temperature_(C),rmr_rate_abs_(umolO2/min),mmr_rate_abs_(umolO2/min),rmr_background_rate_abs_(umolO2/min),mmr_background_rate_abs_(umolO2/min),resting_metabolic_rate_(umolO2/min/g),maximal_metabolic_rate_(umolO2/min/g),aerobic_scope_(umolO2/min/g)
33,4.701,5,24,28,24,0.581361932,1.026773002,0.129851347,0.054441196,0.096045647,0.2068351,0.110789453
33,4.701,5,24,28,10,0.138756825,0.539136688,0,0,0.029516449,0.114685532,0.085169084
34,5.66,5,24,28,24,0.646389953,1.390307178,0.128712442,0.063810849,0.091462458,0.234363309,0.142900851
34,5.66,5,24,28,10,0.102710186,0.585996177,0,0,0.018146676,0.103532893,0.085386217
35,5.441,5,24,11,24,0.490310144,1.166608987,0.056061129,0.011696336,0.079810516,0.212261101,0.132450586
35,5.441,5,24,11,10,0.101725839,0.295623208,0,0,0.018696166,0.054332514,0.035636348
36,7.191,5,24,11,24,0.53570108,1.438057043,0.057213481,0.01426877,0.066539786,0.197995866,0.13145608
36,7.191,5,24,11,10,0.118823674,0.610578151,0,0,0.016523943,0.084908657,0.068384714
37,8.592,6,10,28,10,0.234532008,0.682681422,0,0,0.027296556,0.079455473,0.052158917
37,8.592,6,10,28,24,0.899786488,2.071220401,0.225022006,0.07550955,0.078534041,0.232275472,0.15374143
38,8.65,6,24,28,24,1.151757152,2.041525919,0.168839146,0.050480921,0.113632139,0.230178613,0.116546473
39,9.664,6,24,28,24,1.020102783,1.732268504,0.172033249,0.045470166,0.08775554,0.17454453,0.08678899
40,8.942,6,24,11,24,0.707303639,1.83190238,0.04682731,3.33E-04,0.07386226,0.204827658,0.130965398
41,5.648,6,24,28,10,0,0.586033458,0,0,0,0.103759465,0.103759465
42,6.346,6,24,28,10,0,0.534051062,0,0,0,0.084155541,0.084155541
43,8.065,6,24,11,10,0,1.035862048,0,0,0,0.128439188,0.128439188
