fish_ID,rep,rank,intercept_b0,slope_b1,rsq,density,row,endrow,time,endtime,oxy,endoxy,rate,adjustment,rate.adjusted,rate.input,oxy.unit,time.unit,volume,mass,area,S,t,P,rate.abs,rate.m.spec,rate.a.spec,output.unit,rate.output
fish4_acclimation,8,1,193.7850645,-0.003853469,0.947,410.6717992,883,921,24409.792,24599.807,99.758,98.891,-0.003853469,NA,NA,-0.003853469,%Air,sec,0.175,0.006932,NA,28,10,1.013253,-0.119320938,-0.017213061,NA,umolO2/min/g,-0.017213061
fish4_opposite,9,1,921.3327068,-0.038020563,0.997,1640.387109,403,417,22007.611,22077.614,84.553,81.978,-0.038020563,NA,NA,-0.038020563,%Air,sec,0.175,0.006932,NA,28,24,1.013253,-0.891944719,-0.128670617,NA,umolO2/min/g,-0.128670617
fish5_acclimation,8,1,234.1080198,-0.005517107,0.983,4101.845649,888,928,24434.795,24634.809,99.317,98.136,-0.005517107,NA,NA,-0.005517107,%Air,sec,0.175,0.005409,NA,28,10,1.013253,-0.170834736,-0.031583423,NA,umolO2/min/g,-0.031583423
fish5_opposite,16,1,860.6904563,-0.03275725,0.995,619.0733748,742,757,23702.733,23777.735,84.38,81.789,-0.03275725,NA,NA,-0.03275725,%Air,sec,0.175,0.005409,NA,28,24,1.013253,-0.768469843,-0.142072443,NA,umolO2/min/g,-0.142072443
fish6_acclimation,15,1,250.9740231,-0.005358247,0.982,2717.034529,1724,1765,28615.091,28820.12,97.693,96.567,-0.005358247,NA,NA,-0.005358247,%Air,sec,0.175,0.005839,NA,11,10,1.013253,-0.184822271,-0.031653069,NA,umolO2/min/g,-0.031653069
fish6_opposite,9,1,860.2006185,-0.034789759,0.998,1529.511286,401,418,21997.612,22082.615,94.938,91.952,-0.034789759,NA,NA,-0.034789759,%Air,sec,0.175,0.005839,NA,11,24,1.013253,-0.899710877,-0.154086466,NA,umolO2/min/g,-0.154086466
fish7_acclimation,16,1,273.3026011,-0.005960713,0.991,5548.412469,1844,1884,29215.137,29415.152,99.165,98.001,-0.005960713,NA,NA,-0.005960713,%Air,sec,0.175,0.008597,NA,11,10,1.013253,-0.205603154,-0.023915686,NA,umolO2/min/g,-0.023915686
fish7_opposite,21,1,1244.598525,-0.046063529,0.998,357.6567883,983,997,24907.812,24977.819,97.293,94.037,-0.046063529,NA,NA,-0.046063529,%Air,sec,0.175,0.008597,NA,11,24,1.013253,-1.191266048,-0.138567645,NA,umolO2/min/g,-0.138567645
