"fish_ID","rep","rank","intercept_b0","slope_b1","rsq","density","row","endrow","time","endtime","oxy","endoxy","rate","adjustment","rate.adjusted","rate.input","oxy.unit","time.unit","volume","mass","area","S","t","P","rate.abs","rate.m.spec","rate.a.spec","output.unit","rate.output"
"fish4_acclimation_mmr",NA,1,118.671706307844,-0.0322351484854969,0.997,55.7128387892264,14,53,689.311,884.327,96.187,90.233,-0.0322351484854969,NA,NA,-0.0322351484854969,"%Air","sec",0.175,0.006932,NA,28,10,1.013253,-0.998146808142916,-0.143991172553796,NA,"umolO2/min/g",-0.143991172553796
"fish4_opposite_mmr",NA,1,258.676238221836,-0.0725054448743243,0.998,32.9153577255881,14,32,2186.148,2276.172,99.936,93.659,-0.0725054448743243,NA,NA,-0.0725054448743243,"%Air","sec",0.175,0.006932,NA,28,24,1.013253,-1.70094401066549,-0.245375650701889,NA,"umolO2/min/g",-0.245375650701889
"fish5_acclimation_mmr",NA,1,134.968725319338,-0.0285853506732543,0.998,127.117651464867,45,69,1344.353,1464.361,96.429,93.142,-0.0285853506732543,NA,NA,-0.0285853506732543,"%Air","sec",0.175,0.005409,NA,28,10,1.013253,-0.885132467964027,-0.163640685517476,NA,"umolO2/min/g",-0.163640685517476
"fish5_opposite_mmr",NA,1,306.140336522371,-0.0671323636484183,1,29.8483858966816,28,61,3056.226,3221.237,101.055,89.963,-0.0671323636484183,NA,NA,-0.0671323636484183,"%Air","sec",0.175,0.005409,NA,28,24,1.013253,-1.57489402440769,-0.291161771937085,NA,"umolO2/min/g",-0.291161771937085
"fish6_acclimation_mmr",NA,1,165.067294920714,-0.0261122839530778,0.999,213.664073451152,5,44,2519.409,2714.419,99.22,94.188,-0.0261122839530778,NA,NA,-0.0261122839530778,"%Air","sec",0.175,0.005839,NA,11,10,1.013253,-0.900692244906139,-0.154254537575979,NA,"umolO2/min/g",-0.154254537575979
"fish6_opposite_mmr",NA,2,264.757164649168,-0.0406648571815329,0.996,39.0886523078563,8,28,4031.295,4131.31,100.609,96.856,-0.0406648571815329,NA,NA,-0.0406648571815329,"%Air","sec",0.175,0.005839,NA,11,24,1.013253,-1.05164898053819,-0.180107720592257,NA,"umolO2/min/g",-0.180107720592257
"fish7_acclimation_mmr",NA,4,148.832271317199,-0.0277211228326832,0.992,13.6479159152411,24,41,1864.381,1949.381,97.303,94.747,-0.0277211228326832,NA,NA,-0.0277211228326832,"%Air","sec",0.175,0.008597,NA,11,10,1.013253,-0.956186000441576,-0.111223217452783,NA,"umolO2/min/g",-0.111223217452783
"fish7_opposite_mmr",NA,1,428.933954539071,-0.0607601236241673,0.998,19.5452595385371,31,68,5396.37,5581.386,100.714,89.974,-0.0607601236241673,NA,NA,-0.0607601236241673,"%Air","sec",0.175,0.008597,NA,11,24,1.013253,-1.5713401323772,-0.182777728553821,NA,"umolO2/min/g",-0.182777728553821
