"fish_ID","rep","rank","intercept_b0","slope_b1","rsq","density","row","endrow","time","endtime","oxy","endoxy","rate","adjustment","rate.adjusted","rate.input","oxy.unit","time.unit","volume","mass","area","S","t","P","rate.abs","rate.m.spec","rate.a.spec","output.unit","rate.output"
"fish23_acclimation_mmr",NA,1,104.645003132961,-0.0280760750188863,0.997,263.818851551186,5,43,143.771,333.687,100.664,95.324,-0.0280760750188863,NA,NA,-0.0280760750188863,"%Air","sec",0.175,0.007145,NA,28,10,1.013253,-0.869362977431015,-0.121674314545978,NA,"umolO2/min/g",-0.121674314545978
"fish23_opposite_mmr",NA,1,174.581738191658,-0.0945006494821689,0.999,76.7053477540842,14,39,814.056,939.056,97.603,85.92,-0.0945006494821689,NA,NA,-0.0945006494821689,"%Air","sec",0.175,0.007145,NA,28,24,1.013253,-2.21694127964196,-0.310278695541212,NA,"umolO2/min/g",-0.310278695541212
"fish24_acclimation_mmr",NA,1,141.665458807412,-0.03110832194058,0.998,265.836368156338,27,59,1378.81,1538.81,98.698,93.823,-0.03110832194058,NA,NA,-0.03110832194058,"%Air","sec",0.175,0.008992,NA,11,10,1.013253,-1.07302081940715,-0.119330607140475,NA,"umolO2/min/g",-0.119330607140475
"fish24_opposite_mmr",NA,2,271.293334084404,-0.0638148495611337,0.995,78.7619153808307,11,40,2674.089,2819.089,100.277,91.302,-0.0638148495611337,NA,NA,-0.0638148495611337,"%Air","sec",0.175,0.008992,NA,11,24,1.013253,-1.65033953481192,-0.183534200935489,NA,"umolO2/min/g",-0.183534200935489
"fish25_acclimation_mmr",NA,2,149.463910421361,-0.0229152211634434,0.998,234.866805788159,81,139,2398.827,2688.831,94.445,87.823,-0.0229152211634434,NA,NA,-0.0229152211634434,"%Air","sec",0.175,0.007287,NA,11,10,1.013253,-0.790415806955476,-0.108469302450319,NA,"umolO2/min/g",-0.108469302450319
"fish25_opposite_mmr",NA,1,404.130070819041,-0.0806709941345447,0.999,308.971114459469,8,38,3784.097,3934.103,98.739,86.968,-0.0806709941345447,NA,NA,-0.0806709941345447,"%Air","sec",0.175,0.007287,NA,11,24,1.013253,-2.08626255250008,-0.286299238712787,NA,"umolO2/min/g",-0.286299238712787
"fish26_acclimation_mmr",NA,3,403.961558969193,-0.0866043642306265,0.996,10.3447526598285,2,11,3603.86,3648.857,92.035,87.971,-0.0866043642306265,NA,NA,-0.0866043642306265,"%Air","sec",0.175,0.006203,NA,28,24,1.013253,-2.0316981006173,-0.327534757474979,NA,"umolO2/min/g",-0.327534757474979
"fish26_opposite_mmr",NA,2,120.945655451556,-0.0215720161397262,0.992,285.951428562683,38,79,1084.058,1288.984,97.443,93.302,-0.0215720161397262,NA,NA,-0.0215720161397262,"%Air","sec",0.175,0.006203,NA,28,10,1.013253,-0.667967732947246,-0.107684625656496,NA,"umolO2/min/g",-0.107684625656496
"fish27_acclimation_mmr",NA,1,444.640463516324,-0.0764819026402793,0.999,60.9411173128225,5,47,4518.88,4728.879,98.83,82.891,-0.0764819026402793,NA,NA,-0.0764819026402793,"%Air","sec",0.175,0.007224,NA,28,24,1.013253,-1.79422986019568,-0.248370689395858,NA,"umolO2/min/g",-0.248370689395858
"fish27_opposite_mmr",NA,1,120.629331397242,-0.0126252975659037,0.999,1470.32506285926,48,149,1733.898,2238.907,98.64,92.362,-0.0126252975659037,NA,NA,-0.0126252975659037,"%Air","sec",0.175,0.007224,NA,28,10,1.013253,-0.390936634677861,-0.0541163669266142,NA,"umolO2/min/g",-0.0541163669266142
"fish28_acclimation_mmr",NA,1,401.519475452123,-0.0582427123927602,0.999,51.7761795264075,46,94,5223.9,5463.902,97.376,83.54,-0.0582427123927602,NA,NA,-0.0582427123927602,"%Air","sec",0.175,0.006314,NA,11,24,1.013253,-1.50623642518142,-0.238555024577355,NA,"umolO2/min/g",-0.238555024577355
"fish28_opposite_mmr",NA,2,136.48592419517,-0.0151421851295396,0.996,430.993049896583,8,42,2534.017,2704.085,98.069,95.55,-0.0151421851295396,NA,NA,-0.0151421851295396,"%Air","sec",0.175,0.006314,NA,11,10,1.013253,-0.522300107551556,-0.082720954632809,NA,"umolO2/min/g",-0.082720954632809
"fish29_acclimation_mmr",NA,1,460.529910812325,-0.0646305193568469,0.998,73.5251794693453,5,27,5618.902,5728.9,97.062,90.322,-0.0646305193568469,NA,NA,-0.0646305193568469,"%Air","sec",0.175,0.00689,NA,11,24,1.013253,-1.67143387445974,-0.242588370748874,NA,"umolO2/min/g",-0.242588370748874
"fish29_opposite_mmr",NA,3,221.500836907358,-0.0290463014585818,0.991,79.8198053781319,1,22,4174.109,4279.109,100.179,97.198,-0.0290463014585818,NA,NA,-0.0290463014585818,"%Air","sec",0.175,0.00689,NA,11,10,1.013253,-1.00189544943528,-0.145412982501492,NA,"umolO2/min/g",-0.145412982501492
